{'--activation': 'tanh',
 '--dropout': '0.70',
 '--epoch': '50',
 '--hidden': '100',
 '--lr': '0.1',
 '--mem_dim': '100',
 '--model': 'filter',
 '--optim': 'adagrad',
 '--reg': '3e-3',
 '--truncate_grad': '50',
 '<data>': 'data/senna0'}
{"dev_acc": 0.5535642323428327, "dev_loss": 0.69597939508301876, "epoch": 0, "train_acc": 0.72282406162395452, "train_loss": 0.70587278091454808}
{"dev_acc": 0.60421839838345393, "dev_loss": 0.6773635681186404, "epoch": 1, "train_acc": 0.73221280817987588, "train_loss": 0.6924376495276825}
{"dev_acc": 0.5872040045782051, "dev_loss": 0.69079430401325226, "epoch": 2, "train_acc": 0.78334211298808254, "train_loss": 0.6327833525742157}
{"dev_acc": 0.53093963333519645, "dev_loss": 0.7033437091325011, "epoch": 3, "train_acc": 0.79967105401269301, "train_loss": 0.59531364599360692}
{"dev_acc": 0.58485592556959254, "dev_loss": 0.70233585951583721, "epoch": 4, "train_acc": 0.83176992241694903, "train_loss": 0.5631430692310575}
{"dev_acc": 0.5861406115048079, "dev_loss": 0.66871676780283451, "epoch": 5, "train_acc": 0.8505823482901631, "train_loss": 0.48695281379019156}
{"dev_acc": 0.57224814769980603, "dev_loss": 0.70946218499115532, "epoch": 6, "train_acc": 0.86178001942158533, "train_loss": 0.41273618210107088}
{"dev_acc": 0.58901853775198076, "dev_loss": 0.75791322546345852, "epoch": 7, "train_acc": 0.8798803396452376, "train_loss": 0.39800700934344457}
{"dev_acc": 0.61795849961576454, "dev_loss": 0.68299941718578339, "epoch": 8, "train_acc": 0.87927771789024334, "train_loss": 0.37123901989971159}
{"dev_acc": 0.60687576493000983, "dev_loss": 0.68203175866178101, "epoch": 9, "train_acc": 0.88734427421210782, "train_loss": 0.32721328707058217}
{"dev_acc": 0.60596994426313788, "dev_loss": 0.68803510016628677, "epoch": 10, "train_acc": 0.89270378406194006, "train_loss": 0.31662101165945583}
{"dev_acc": 0.59556251760403789, "dev_loss": 0.70630014049155376, "epoch": 11, "train_acc": 0.89885253628995232, "train_loss": 0.29065226174631642}
{"dev_acc": 0.59860289635290476, "dev_loss": 0.69811233425779007, "epoch": 12, "train_acc": 0.90359892518573914, "train_loss": 0.28059279065154774}
{"dev_acc": 0.60530205229980116, "dev_loss": 0.71197832056454247, "epoch": 13, "train_acc": 0.90481651646770767, "train_loss": 0.27026342793774522}
{"dev_acc": 0.66034533497721692, "dev_loss": 0.71058586505906918, "epoch": 14, "train_acc": 0.90880427142279874, "train_loss": 0.26342547910075775}
{"dev_acc": 0.64019255490217086, "dev_loss": 0.7371890227576452, "epoch": 15, "train_acc": 0.91229513285128438, "train_loss": 0.24216194748340611}
{"dev_acc": 0.65207641243534997, "dev_loss": 0.7038667603795018, "epoch": 16, "train_acc": 0.91467864229186113, "train_loss": 0.23212548136811326}
{"dev_acc": 0.6376117023527561, "dev_loss": 0.69853767200506156, "epoch": 17, "train_acc": 0.91726485363026056, "train_loss": 0.22648479188151385}
{"dev_acc": 0.65544506900304644, "dev_loss": 0.7468520257888096, "epoch": 18, "train_acc": 0.91977744403445227, "train_loss": 0.22465723168025312}
{"dev_acc": 0.64996502691683478, "dev_loss": 0.7354860264541847, "epoch": 19, "train_acc": 0.921889667749346, "train_loss": 0.2136347376331805}
{"dev_acc": 0.67043713741746835, "dev_loss": 0.72264920956721268, "epoch": 20, "train_acc": 0.92436301917465369, "train_loss": 0.20024857635144144}
{"dev_acc": 0.64446999761723889, "dev_loss": 0.66483200274940046, "epoch": 21, "train_acc": 0.92467622577394348, "train_loss": 0.21528553167951905}
