{'--activation': 'tanh',
 '--dropout': '0.70',
 '--epoch': '50',
 '--hidden': '100',
 '--lr': '0.1',
 '--mem_dim': '100',
 '--model': 'filter',
 '--optim': 'adagrad',
 '--reg': '3e-3',
 '--truncate_grad': '50',
 '<data>': 'data/senna0'}
{"dev_acc": 0.50134798117330548, "dev_loss": 0.69713971550975529, "epoch": 0, "train_acc": 0.7164446818178315, "train_loss": 0.74845670257942587}
{"dev_acc": 0.50156147510576132, "dev_loss": 0.6946864287768092, "epoch": 1, "train_acc": 0.71252283841316622, "train_loss": 0.66974854997441735}
{"dev_acc": 0.61065144152409478, "dev_loss": 0.66667737545711658, "epoch": 2, "train_acc": 0.75725973343771491, "train_loss": 0.65032907594231115}
{"dev_acc": 0.60084230739657085, "dev_loss": 0.66677864161985256, "epoch": 3, "train_acc": 0.80248989942580762, "train_loss": 0.6073428945073599}
{"dev_acc": 0.59304479126246068, "dev_loss": 0.64863572322896546, "epoch": 4, "train_acc": 0.81536344597666432, "train_loss": 0.54897737550207326}
{"dev_acc": 0.5875317974062797, "dev_loss": 0.66824717101241859, "epoch": 5, "train_acc": 0.84029076533815883, "train_loss": 0.49709806893068026}
{"dev_acc": 0.63020421302612983, "dev_loss": 0.66376500629952973, "epoch": 6, "train_acc": 0.86143924960765361, "train_loss": 0.42113624546158163}
{"dev_acc": 0.64320844872393923, "dev_loss": 0.66002547501453335, "epoch": 7, "train_acc": 0.87077742486134091, "train_loss": 0.39090119802121875}
{"dev_acc": 0.63641595889045532, "dev_loss": 0.67495259549468756, "epoch": 8, "train_acc": 0.87822875567443281, "train_loss": 0.35037586118884478}
{"dev_acc": 0.63251564690839857, "dev_loss": 0.65851779095828533, "epoch": 9, "train_acc": 0.88854220193526479, "train_loss": 0.32574272957406464}
{"dev_acc": 0.61486671096756884, "dev_loss": 0.65923900077385567, "epoch": 10, "train_acc": 0.88930567837494456, "train_loss": 0.32470702317460803}
{"dev_acc": 0.6439874046232531, "dev_loss": 0.65230636178914991, "epoch": 11, "train_acc": 0.88638009866148082, "train_loss": 0.33028675180777339}
{"dev_acc": 0.62399516683588607, "dev_loss": 0.69719076489231413, "epoch": 12, "train_acc": 0.89379964941904499, "train_loss": 0.31214477305736721}
{"dev_acc": 0.61172033086800082, "dev_loss": 0.65777783228882725, "epoch": 13, "train_acc": 0.89407970273583304, "train_loss": 0.30636154343315131}
{"dev_acc": 0.63982547515555588, "dev_loss": 0.65892653400078416, "epoch": 14, "train_acc": 0.88652868478200442, "train_loss": 0.32867264950093872}
{"dev_acc": 0.61931739396873364, "dev_loss": 0.65068258950486779, "epoch": 15, "train_acc": 0.89559003289961303, "train_loss": 0.28102971411227612}
{"dev_acc": 0.64586461092620706, "dev_loss": 0.65997557761147618, "epoch": 16, "train_acc": 0.90021656939018269, "train_loss": 0.2805300858800146}
{"dev_acc": 0.65802050783910204, "dev_loss": 0.65575642404811718, "epoch": 17, "train_acc": 0.89903022853598324, "train_loss": 0.26731270300872811}
