{'--activation': 'tanh',
 '--dropout': '0.70',
 '--epoch': '50',
 '--hidden': '100',
 '--lr': '0.1',
 '--mem_dim': '100',
 '--model': 'filter',
 '--optim': 'adagrad',
 '--reg': '3e-3',
 '--truncate_grad': '50',
 '<data>': 'data/senna0'}
{"dev_acc": 0.56066806885309317, "dev_loss": 0.69284096839172504, "epoch": 0, "train_acc": 0.73654639680727407, "train_loss": 0.70705976252314406}
{"dev_acc": 0.55411599176369941, "dev_loss": 0.68180347872631886, "epoch": 1, "train_acc": 0.76469943670440366, "train_loss": 0.65024107939834841}
{"dev_acc": 0.5810522978791447, "dev_loss": 0.67078702258212231, "epoch": 2, "train_acc": 0.79590056258672948, "train_loss": 0.59076451349862014}
{"dev_acc": 0.59755511268808348, "dev_loss": 0.68092510263834682, "epoch": 3, "train_acc": 0.83406292424377793, "train_loss": 0.54891473865961726}
{"dev_acc": 0.59326147236669358, "dev_loss": 0.6797664564635072, "epoch": 4, "train_acc": 0.84615567974358352, "train_loss": 0.48398472259669928}
{"dev_acc": 0.56599779879717305, "dev_loss": 0.71499028349561355, "epoch": 5, "train_acc": 0.86328552051977969, "train_loss": 0.42760955215773627}
{"dev_acc": 0.62002617344682431, "dev_loss": 0.6820148320070335, "epoch": 6, "train_acc": 0.87176502094598529, "train_loss": 0.37180161680083107}
{"dev_acc": 0.63496675143477355, "dev_loss": 0.70360953108008417, "epoch": 7, "train_acc": 0.8816127859909122, "train_loss": 0.35234370382054697}
{"dev_acc": 0.63711146712525191, "dev_loss": 0.69573581218719482, "epoch": 8, "train_acc": 0.88781505626420687, "train_loss": 0.3340050798805454}
{"dev_acc": 0.67275222308662652, "dev_loss": 0.66141990891524727, "epoch": 9, "train_acc": 0.89266585982220925, "train_loss": 0.30611376691008385}
{"dev_acc": 0.66531189992792672, "dev_loss": 0.65829612520922509, "epoch": 10, "train_acc": 0.89924917453108411, "train_loss": 0.27713242850466807}
{"dev_acc": 0.64870769368169068, "dev_loss": 0.66188098498553571, "epoch": 11, "train_acc": 0.905296252194838, "train_loss": 0.26451689005192791}
{"dev_acc": 0.67197251278952741, "dev_loss": 0.65108967665582895, "epoch": 12, "train_acc": 0.91038035481733837, "train_loss": 0.24983547150623053}
{"dev_acc": 0.64726400279857133, "dev_loss": 0.65980078605934978, "epoch": 13, "train_acc": 0.91411227905017345, "train_loss": 0.2285749518269779}
{"dev_acc": 0.65104762333527499, "dev_loss": 0.65004522300192291, "epoch": 14, "train_acc": 0.90392604921072583, "train_loss": 0.25512704570317946}
{"dev_acc": 0.6754909934186909, "dev_loss": 0.65211092634126544, "epoch": 15, "train_acc": 0.91537096003663432, "train_loss": 0.2316650450015971}
{"dev_acc": 0.65797655233124408, "dev_loss": 0.67003384309022551, "epoch": 16, "train_acc": 0.9148035112481302, "train_loss": 0.23394325113106706}
{"dev_acc": 0.66924359009300916, "dev_loss": 0.68489406457436941, "epoch": 17, "train_acc": 0.92088226909644488, "train_loss": 0.21670019441237084}
{"dev_acc": 0.67877974399030883, "dev_loss": 0.66286753297650391, "epoch": 18, "train_acc": 0.92537658672314038, "train_loss": 0.20490191684876674}
{"dev_acc": 0.6791762524822923, "dev_loss": 0.67570475262722796, "epoch": 19, "train_acc": 0.91601066830716149, "train_loss": 0.2000784703937088}
{"dev_acc": 0.63676563153358212, "dev_loss": 0.72473601491323536, "epoch": 20, "train_acc": 0.91981824558263203, "train_loss": 0.25946984896539488}
{"dev_acc": 0.60221274758380361, "dev_loss": 0.70467746909707785, "epoch": 21, "train_acc": 0.89825142772152278, "train_loss": 0.2948745876503519}
{"dev_acc": 0.60618946792094963, "dev_loss": 0.73240171665591858, "epoch": 22, "train_acc": 0.9152575763394859, "train_loss": 0.23740208169144777}
{"dev_acc": 0.64011389917927874, "dev_loss": 0.75023517464952805, "epoch": 23, "train_acc": 0.92002998804256586, "train_loss": 0.22232104313288686}
{"dev_acc": 0.64018612286974297, "dev_loss": 0.73980225383171017, "epoch": 24, "train_acc": 0.92025604599278721, "train_loss": 0.22993524011469127}
{"dev_acc": 0.65084233313105611, "dev_loss": 0.70314996416813558, "epoch": 25, "train_acc": 0.91628117097891226, "train_loss": 0.22044998743421032}
{"dev_acc": 0.60189603017061677, "dev_loss": 0.74259637316156712, "epoch": 26, "train_acc": 0.9226812957558661, "train_loss": 0.20773515043134766}
{"dev_acc": 0.64681452405403772, "dev_loss": 0.7640470393733787, "epoch": 27, "train_acc": 0.92754880653405314, "train_loss": 0.19662091172487428}
