{'--activation': 'tanh',
 '--dropout': '0.70',
 '--epoch': '50',
 '--hidden': '100',
 '--lr': '0.1',
 '--mem_dim': '100',
 '--model': 'filter',
 '--optim': 'adagrad',
 '--reg': '3e-3',
 '--truncate_grad': '50',
 '<data>': 'data/senna0'}
{"dev_acc": 0.55802092899623124, "dev_loss": 0.69503316549318173, "epoch": 0, "train_acc": 0.76566778295022342, "train_loss": 0.70528277566161335}
{"dev_acc": 0.57150699425485862, "dev_loss": 0.66958149469324524, "epoch": 1, "train_acc": 0.74939396919378343, "train_loss": 0.66526512895958334}
{"dev_acc": 0.55032554072335393, "dev_loss": 0.68718626403382843, "epoch": 2, "train_acc": 0.77703648706806716, "train_loss": 0.64043153086795079}
{"dev_acc": 0.56591129379926075, "dev_loss": 0.68876420067889355, "epoch": 3, "train_acc": 0.77492838975795342, "train_loss": 0.59864817446545715}
{"dev_acc": 0.59643075932850864, "dev_loss": 0.67535700915115215, "epoch": 4, "train_acc": 0.81556054304080394, "train_loss": 0.54091034221309653}
{"dev_acc": 0.58292083634228054, "dev_loss": 0.66950512837086407, "epoch": 5, "train_acc": 0.82987177447634131, "train_loss": 0.49575957094755352}
{"dev_acc": 0.57088301795659213, "dev_loss": 0.66975723765790462, "epoch": 6, "train_acc": 0.85532234168888621, "train_loss": 0.43152574553519862}
{"dev_acc": 0.60098824687536223, "dev_loss": 0.68769924928035053, "epoch": 7, "train_acc": 0.86385280706956713, "train_loss": 0.39008374870577944}
{"dev_acc": 0.61285164848650797, "dev_loss": 0.72336534277669018, "epoch": 8, "train_acc": 0.87441386185615877, "train_loss": 0.37467322515064405}
{"dev_acc": 0.5853465202862943, "dev_loss": 0.70161257032305002, "epoch": 9, "train_acc": 0.88103989138730854, "train_loss": 0.34417978312254327}
{"dev_acc": 0.6299728127563432, "dev_loss": 0.70458511915057898, "epoch": 10, "train_acc": 0.88684767068340287, "train_loss": 0.31771550608704552}
{"dev_acc": 0.61027372318459272, "dev_loss": 0.72469941845961983, "epoch": 11, "train_acc": 0.89194767179594003, "train_loss": 0.30000955054147427}
{"dev_acc": 0.58204450767600024, "dev_loss": 0.7296994134251561, "epoch": 12, "train_acc": 0.89652324230449343, "train_loss": 0.27841451050878702}
{"dev_acc": 0.63901685336473324, "dev_loss": 0.70866014582238024, "epoch": 13, "train_acc": 0.89989765045301218, "train_loss": 0.27287910575241653}
{"dev_acc": 0.66568249199572038, "dev_loss": 0.67314930619405844, "epoch": 14, "train_acc": 0.89639450821450573, "train_loss": 0.28907852081723417}
{"dev_acc": 0.63250080074665183, "dev_loss": 0.69700109945344069, "epoch": 15, "train_acc": 0.9033236001219237, "train_loss": 0.27353178089649616}
{"dev_acc": 0.65663139159808481, "dev_loss": 0.67604974012023633, "epoch": 16, "train_acc": 0.90801886168748969, "train_loss": 0.2524988753824271}
{"dev_acc": 0.64832866636063691, "dev_loss": 0.69162026380321806, "epoch": 17, "train_acc": 0.91084891212482877, "train_loss": 0.24111408306358684}
{"dev_acc": 0.67376416143490747, "dev_loss": 0.6998867339321545, "epoch": 18, "train_acc": 0.91311035749541458, "train_loss": 0.23830051640567335}
{"dev_acc": 0.65350600909610856, "dev_loss": 0.68495751012648853, "epoch": 19, "train_acc": 0.91609162361567031, "train_loss": 0.23321805278110447}
{"dev_acc": 0.63491345691228696, "dev_loss": 0.70601059449836612, "epoch": 20, "train_acc": 0.92052945197377534, "train_loss": 0.22021787080919678}
{"dev_acc": 0.64159816327725527, "dev_loss": 0.72178592539525455, "epoch": 21, "train_acc": 0.92413781117072979, "train_loss": 0.21104303987209003}
{"dev_acc": 0.61365717961575916, "dev_loss": 0.73112257403720704, "epoch": 22, "train_acc": 0.92373162199705794, "train_loss": 0.20443307056498441}
{"dev_acc": 0.67615529832667476, "dev_loss": 0.72544410310885199, "epoch": 23, "train_acc": 0.92689285943563315, "train_loss": 0.20273001177407377}
{"dev_acc": 0.66453696143323182, "dev_loss": 0.71653789597829542, "epoch": 24, "train_acc": 0.92938613108799184, "train_loss": 0.19904735424118175}
{"dev_acc": 0.6074492265258028, "dev_loss": 0.76187364258138202, "epoch": 25, "train_acc": 0.92908741184262877, "train_loss": 0.19190105733112064}
{"dev_acc": 0.6592408366555913, "dev_loss": 0.74528188329921774, "epoch": 26, "train_acc": 0.93481106339368558, "train_loss": 0.18085642977686942}
