{'--activation': 'tanh',
 '--dropout': '0.70',
 '--epoch': '50',
 '--hidden': '100',
 '--lr': '0.1',
 '--mem_dim': '100',
 '--model': 'filter',
 '--optim': 'adagrad',
 '--reg': '3e-3',
 '--truncate_grad': '50',
 '<data>': 'data/senna0'}
{"dev_acc": 0.61102600739531454, "dev_loss": 0.68320701909916737, "epoch": 0, "train_acc": 0.64688424475205997, "train_loss": 0.75057466988322097}
{"dev_acc": 0.59133031258476809, "dev_loss": 0.67055041396192139, "epoch": 1, "train_acc": 0.71340176152396317, "train_loss": 0.71966527194916452}
{"dev_acc": 0.58486066863116215, "dev_loss": 0.67782938480377197, "epoch": 2, "train_acc": 0.71290053634227157, "train_loss": 0.70961004118376136}
{"dev_acc": 0.60171573989452753, "dev_loss": 0.67218687438539093, "epoch": 3, "train_acc": 0.77807743300936749, "train_loss": 0.66231449042694479}
{"dev_acc": 0.5677737420972252, "dev_loss": 0.66468820029071396, "epoch": 4, "train_acc": 0.79225526260259027, "train_loss": 0.62189997430843647}
{"dev_acc": 0.58102162052970774, "dev_loss": 0.67641165373580792, "epoch": 5, "train_acc": 0.81129631917177081, "train_loss": 0.59324819198514844}
{"dev_acc": 0.59786769167224496, "dev_loss": 0.66061984375119209, "epoch": 6, "train_acc": 0.82183746138828984, "train_loss": 0.50855517576012432}
{"dev_acc": 0.60945309757317845, "dev_loss": 0.65380479022860527, "epoch": 7, "train_acc": 0.84644394408236467, "train_loss": 0.47549857222769831}
{"dev_acc": 0.61512377895220693, "dev_loss": 0.70608477986284668, "epoch": 8, "train_acc": 0.85255235300557197, "train_loss": 0.44099227720989459}
{"dev_acc": 0.62010296800379461, "dev_loss": 0.67921304995460174, "epoch": 9, "train_acc": 0.84799230056754549, "train_loss": 0.42749314889594725}
{"dev_acc": 0.62843943055874285, "dev_loss": 0.69972266416464535, "epoch": 10, "train_acc": 0.87347850586539899, "train_loss": 0.37716090905515454}
{"dev_acc": 0.57397542725276207, "dev_loss": 0.68501718235867359, "epoch": 11, "train_acc": 0.87654921816295461, "train_loss": 0.37130825869338235}
{"dev_acc": 0.61764644094342969, "dev_loss": 0.6756594143807888, "epoch": 12, "train_acc": 0.87968354610235933, "train_loss": 0.35093443979851052}
{"dev_acc": 0.61418342005928483, "dev_loss": 0.70329779812267845, "epoch": 13, "train_acc": 0.88767264148379588, "train_loss": 0.32331707703444779}
{"dev_acc": 0.6259237310437753, "dev_loss": 0.73314350673795814, "epoch": 14, "train_acc": 0.89472693261255576, "train_loss": 0.28766565099122782}
{"dev_acc": 0.61977401566355161, "dev_loss": 0.72979014373517459, "epoch": 15, "train_acc": 0.89492236826272953, "train_loss": 0.2881823179040906}
{"dev_acc": 0.63124858338458156, "dev_loss": 0.73657230871529988, "epoch": 16, "train_acc": 0.90101292354262164, "train_loss": 0.26952047294147219}
{"dev_acc": 0.6386455320649882, "dev_loss": 0.73784712281277665, "epoch": 17, "train_acc": 0.90347484877225714, "train_loss": 0.25416154265580582}
{"dev_acc": 0.63206362467305621, "dev_loss": 0.7599807947741023, "epoch": 18, "train_acc": 0.90636141831404848, "train_loss": 0.24483201403945945}
{"dev_acc": 0.64965983679128192, "dev_loss": 0.73946287950301282, "epoch": 19, "train_acc": 0.90935012105527546, "train_loss": 0.24134460629753862}
{"dev_acc": 0.59300475825661958, "dev_loss": 0.6875975919621331, "epoch": 20, "train_acc": 0.88736616561541404, "train_loss": 0.35530136434709109}
{"dev_acc": 0.5880498756261161, "dev_loss": 0.69402028114667957, "epoch": 21, "train_acc": 0.88225837195624435, "train_loss": 0.34231343521158908}
{"dev_acc": 0.61114141312035219, "dev_loss": 0.69736864231526852, "epoch": 22, "train_acc": 0.89223915940305032, "train_loss": 0.30070635895067943}
{"dev_acc": 0.61110359822881966, "dev_loss": 0.69450835763875929, "epoch": 23, "train_acc": 0.89751903690857604, "train_loss": 0.27294753961076462}
{"dev_acc": 0.64911298014323082, "dev_loss": 0.7025477475087557, "epoch": 24, "train_acc": 0.90397515805198025, "train_loss": 0.26538849539194209}
{"dev_acc": 0.64137727305888104, "dev_loss": 0.70095290729243842, "epoch": 25, "train_acc": 0.90673187113234255, "train_loss": 0.25324082918040736}
{"dev_acc": 0.63411546243025019, "dev_loss": 0.70905186232578543, "epoch": 26, "train_acc": 0.90849564549819939, "train_loss": 0.24926914989394194}
{"dev_acc": 0.64181337918192127, "dev_loss": 0.71004066862432025, "epoch": 27, "train_acc": 0.91114943475224985, "train_loss": 0.24174017647039617}
{"dev_acc": 0.62804357503404962, "dev_loss": 0.7395374127663672, "epoch": 28, "train_acc": 0.9141594605494221, "train_loss": 0.22438989110663829}
{"dev_acc": 0.63621580411650314, "dev_loss": 0.73827857630593441, "epoch": 29, "train_acc": 0.90377745416978172, "train_loss": 0.26501951383756872}
{"dev_acc": 0.63054267747140036, "dev_loss": 0.75536323872594424, "epoch": 30, "train_acc": 0.90509062054786682, "train_loss": 0.24993504734733438}
{"dev_acc": 0.62654539367237283, "dev_loss": 0.76062444226616732, "epoch": 31, "train_acc": 0.91096012261579495, "train_loss": 0.23733779115313547}
{"dev_acc": 0.61488189515677405, "dev_loss": 0.76948186163125298, "epoch": 32, "train_acc": 0.91378223674997383, "train_loss": 0.22962512989024503}
{"dev_acc": 0.61814870306828451, "dev_loss": 0.74975985775901266, "epoch": 33, "train_acc": 0.91518877388928677, "train_loss": 0.21976866307034734}
{"dev_acc": 0.62118200287209324, "dev_loss": 0.78425010416789775, "epoch": 34, "train_acc": 0.91662029672457035, "train_loss": 0.22058244935410756}
{"dev_acc": 0.61803852380126367, "dev_loss": 0.75065904582983678, "epoch": 35, "train_acc": 0.91843480055451443, "train_loss": 0.21012206565621133}
{"dev_acc": 0.6135278256292942, "dev_loss": 0.75899084795465954, "epoch": 36, "train_acc": 0.91919677959998058, "train_loss": 0.20824627508151439}
{"dev_acc": 0.63264845948209303, "dev_loss": 0.79853786701070406, "epoch": 37, "train_acc": 0.92091194131068699, "train_loss": 0.20165816331740918}
{"dev_acc": 0.62473930586712434, "dev_loss": 0.80628936059240786, "epoch": 38, "train_acc": 0.9225852072557742, "train_loss": 0.20177337220321775}
{"dev_acc": 0.63579673212385235, "dev_loss": 0.80892337321503349, "epoch": 39, "train_acc": 0.92388888789201085, "train_loss": 0.19328186911500583}
{"dev_acc": 0.62652466498062864, "dev_loss": 0.81001510136827293, "epoch": 40, "train_acc": 0.92563721188952308, "train_loss": 0.19393580541739688}
{"dev_acc": 0.60720600569621885, "dev_loss": 0.81039793751967537, "epoch": 41, "train_acc": 0.92726538262597935, "train_loss": 0.19065384509276209}
{"dev_acc": 0.61655097257108316, "dev_loss": 0.80463356338441372, "epoch": 42, "train_acc": 0.92920009908242029, "train_loss": 0.18612149292072636}
{"dev_acc": 0.62553702109014431, "dev_loss": 0.80314838463839677, "epoch": 43, "train_acc": 0.92969200717782807, "train_loss": 0.18605382126277825}
{"dev_acc": 0.60563208813047553, "dev_loss": 0.81237103930574706, "epoch": 44, "train_acc": 0.93093790739220394, "train_loss": 0.18212499843392363}
{"dev_acc": 0.59941889793946257, "dev_loss": 0.84724998008875574, "epoch": 45, "train_acc": 0.93184929177099851, "train_loss": 0.17882106485164595}
